group,link
https://rasp.sstu.ru/rasp/group/193,б-ЭКЛП-11
https://rasp.sstu.ru/rasp/group/335,б-ЭКЛП-21
https://rasp.sstu.ru/rasp/group/147,б-ЭКЛП-31
https://rasp.sstu.ru/rasp/group/2,б1-АРХТ-11
https://rasp.sstu.ru/rasp/group/217,б1-АРХТ-12
https://rasp.sstu.ru/rasp/group/218,б1-АРХТ-21
https://rasp.sstu.ru/rasp/group/219,б1-АРХТ-22
https://rasp.sstu.ru/rasp/group/3,б1-АРХТ-31
https://rasp.sstu.ru/rasp/group/78,б1-АРХТ-32
https://rasp.sstu.ru/rasp/group/288,б1-АРХТ-41
https://rasp.sstu.ru/rasp/group/4,б1-ДАРС-11
https://rasp.sstu.ru/rasp/group/178,б1-ДАРС-12
https://rasp.sstu.ru/rasp/group/222,б1-ДАРС-21
https://rasp.sstu.ru/rasp/group/79,б1-ДАРС-22
https://rasp.sstu.ru/rasp/group/80,б1-ДАРС-31
https://rasp.sstu.ru/rasp/group/223,б1-ДАРС-41
https://rasp.sstu.ru/rasp/group/290,б1-ДАРС-42
https://rasp.sstu.ru/rasp/group/185,б2-ДАРС-31
https://rasp.sstu.ru/rasp/group/295,б1-НФГД-11
https://rasp.sstu.ru/rasp/group/225,б1-НФГД-21
https://rasp.sstu.ru/rasp/group/180,б1-НФГД-31
https://rasp.sstu.ru/rasp/group/670,б2-НФГД-21
https://rasp.sstu.ru/rasp/group/108,б2-НФГД-31
https://rasp.sstu.ru/rasp/group/182,б1-СТЗС-11
https://rasp.sstu.ru/rasp/group/101,б1-СТЗС-12
https://rasp.sstu.ru/rasp/group/298,б1-СТЗС-13
https://rasp.sstu.ru/rasp/group/299,б1-СТЗС-14
https://rasp.sstu.ru/rasp/group/20,б1-СТЗС-21
https://rasp.sstu.ru/rasp/group/300,б1-СТЗС-31
https://rasp.sstu.ru/rasp/group/111,б2-СТЗС-21
https://rasp.sstu.ru/rasp/group/27,б2-СТЗС-22
https://rasp.sstu.ru/rasp/group/112,б2-СТЗС-31
https://rasp.sstu.ru/rasp/group/113,б2-СТЗС-32
https://rasp.sstu.ru/rasp/group/319,б4-СТЗС-21
https://rasp.sstu.ru/rasp/group/242,б4-СТЗС-22
https://rasp.sstu.ru/rasp/group/320,б4-СТЗС-31
https://rasp.sstu.ru/rasp/group/321,б4-СТЗС-32
https://rasp.sstu.ru/rasp/group/122,б5-СТЗС-21
https://rasp.sstu.ru/rasp/group/123,б5-СТЗС-31
https://rasp.sstu.ru/rasp/group/124,б6-СТЗС-21
https://rasp.sstu.ru/rasp/group/125,б6-СТЗС-31
https://rasp.sstu.ru/rasp/group/359,б1-ЭРСП-21
https://rasp.sstu.ru/rasp/group/307,б1-ЭРСП-31
https://rasp.sstu.ru/rasp/group/110,б2-ПРВД-11
https://rasp.sstu.ru/rasp/group/236,б2-ПРВД-21
https://rasp.sstu.ru/rasp/group/313,б2-ТХНБ-11
https://rasp.sstu.ru/rasp/group/364,б2-ТХНБ-21
https://rasp.sstu.ru/rasp/group/115,б2-ТХНБ-31
https://rasp.sstu.ru/rasp/group/157,м-АРХТ-11
https://rasp.sstu.ru/rasp/group/66,м-ЭКЛП-11
https://rasp.sstu.ru/rasp/group/165,м-ЭРСП-21
https://rasp.sstu.ru/rasp/group/152,м1-СТЗС-11
https://rasp.sstu.ru/rasp/group/412,м2-СТЗС-11
https://rasp.sstu.ru/rasp/group/413,м3-СТЗС-11
https://rasp.sstu.ru/rasp/group/386,м4-СТЗС-11
https://rasp.sstu.ru/rasp/group/214,м5-СТЗС-11
https://rasp.sstu.ru/rasp/group/284,с-СЗС-11
https://rasp.sstu.ru/rasp/group/356,с-СЗС-21
https://rasp.sstu.ru/rasp/group/176,с-СЗС-31
https://rasp.sstu.ru/rasp/group/177,с-СЗС-41
https://rasp.sstu.ru/rasp/group/357,с-СЗС-51
https://rasp.sstu.ru/rasp/group/76,с-СМТ-11
https://rasp.sstu.ru/rasp/group/286,с-СМТ-21
https://rasp.sstu.ru/rasp/group/358,с-СМТ-31
https://rasp.sstu.ru/rasp/group/287,с-СМТ-41
https://rasp.sstu.ru/rasp/group/498,б1-НФГДоз-41
https://rasp.sstu.ru/rasp/group/470,м-ЭРСПоз-11
https://rasp.sstu.ru/rasp/group/434,б1-НФГДозипу-11
https://rasp.sstu.ru/rasp/group/435,б1-НФГДозипу-12
https://rasp.sstu.ru/rasp/group/436,б1-НФГДозипу-13
https://rasp.sstu.ru/rasp/group/437,б1-НФГДозипу-14
https://rasp.sstu.ru/rasp/group/499,б1-НФГДозипу-21
https://rasp.sstu.ru/rasp/group/501,б1-НФГДозипу-31
https://rasp.sstu.ru/rasp/group/674,б2-НФГДозипу-21
https://rasp.sstu.ru/rasp/group/503,б2-НФГДозипу-31
https://rasp.sstu.ru/rasp/group/439,б2-СТЗСозипу-11
https://rasp.sstu.ru/rasp/group/440,б2-СТЗСозипу-12
https://rasp.sstu.ru/rasp/group/519,б2-СТЗСозипу-21
https://rasp.sstu.ru/rasp/group/520,б2-СТЗСозипу-22
https://rasp.sstu.ru/rasp/group/521,б4-СТЗСозипу-21
https://rasp.sstu.ru/rasp/group/647,м-ЭКЛПз-21
https://rasp.sstu.ru/rasp/group/616,м1-СТЗСз-21
https://rasp.sstu.ru/rasp/group/619,м2-СТЗСз-21
https://rasp.sstu.ru/rasp/group/655,м5-СТЗСз-21
https://rasp.sstu.ru/rasp/group/368,б-ИКТС-11
https://rasp.sstu.ru/rasp/group/39,б-ИКТС-21
https://rasp.sstu.ru/rasp/group/188,б-ИКТС-31
https://rasp.sstu.ru/rasp/group/192,б-УПРК-11
https://rasp.sstu.ru/rasp/group/372,б-УПРК-21
https://rasp.sstu.ru/rasp/group/143,б-УПРК-31
https://rasp.sstu.ru/rasp/group/144,б-УПТС-11
https://rasp.sstu.ru/rasp/group/265,б-УПТС-21
https://rasp.sstu.ru/rasp/group/52,б-УПТС-31
https://rasp.sstu.ru/rasp/group/148,б-ЭЛНЭ-11
https://rasp.sstu.ru/rasp/group/336,б-ЭЛНЭ-21
https://rasp.sstu.ru/rasp/group/149,б-ЭЛНЭ-31
